关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
603777,【公告汇总】6月9日上市公司股份减持一览,来伊份（603777）控股股东上海爱屋企业管理有限公司拟通过集中竞价和大宗交易方式减持不超过1003万股，占公司总股本的3%,2025-06-09 20:25:39,财中社,http://finance.eastmoney.com/a/202506093425645694.html
603777,【公告汇总】6月23日上市公司股份回购一览,来伊份（603777）截至2025年6月24日已回购291万股，占总股本的0.87%，回购资金总额为3022万元，回购价格区间为,2025-06-23 20:25:55,财中社,http://finance.eastmoney.com/a/202506233437891317.html
603777,来伊份回应,来伊份官网显示，来伊份1999年创立于上海，有超过3600家门店遍布全国百余座大中城市，旗下拥有嗨吃无骨、伊天益袋等近千款零食,2025-05-12 16:17:56,中国新闻网,http://finance.eastmoney.com/a/202505123402034938.html
603777,来伊份与鸿博股份达成彩票零售合作,北京商报讯 7月24日，北京商报记者获悉，近日来伊份与国内最大的体育彩票印制企业——鸿博股份达成合作，双方将借助鸿博股份彩票行业资源优势以及来伊份的销售渠道,2025-07-24 15:39:10,北京商报,http://finance.eastmoney.com/a/202507243466470167.html
603777,多维业态协同升级 来伊份打造社区零售新范式,来伊份2025年将全面启动“来伊份2.0”模式，强化社区服务能力，推动新消费场景落地。,2025-09-01 19:39:57,上观新闻,http://finance.eastmoney.com/a/202509013501229452.html
603777,来伊份：公司已全面下架本批次蜜枣粽产品,讯 （记者金婉霞）5月10日，江苏一名消费者发视频投诉称在上海来伊份股份有限公司（下称“来伊份”）的粽子中吃出异物,2025-05-13 19:09:22,证券日报,http://finance.eastmoney.com/a/202505133403367517.html
603777,【公告汇总】5月6日上市公司股份回购一览,来伊份（603777）截至2025年4月30日已回购216万股，占总股本的0.64%，回购金额为2000万元，回购价格区间在,2025-05-06 20:34:57,财中社,http://finance.eastmoney.com/a/202505063397022383.html
603777,良品铺子筹划“卖身”！此前换帅不到半年，去年营收净利双降,当前，零食行业竞争激烈，不仅有三只松鼠（300783.SZ）、来伊份（603777.SH）、盐津铺子（002847.SZ）,2025-07-13 12:35:07,红星资本局,http://finance.eastmoney.com/a/202507133455379428.html
603777,休闲食品板块短线拉升 来伊份涨停,南方财经5月26日电，休闲食品板块短线拉升，来伊份涨停，好想你、三只松鼠、桂发祥、良品铺子、黑芝麻等纷纷走高。,2025-05-26 13:55:18,南方财经网,http://finance.eastmoney.com/a/202505263414395189.html
603777,“异物粽”事件迎新进展 来伊份与消费者达成和解,月10日，IP地址显示为江苏的一位消费者连发两条视频投诉，称在来伊份的粽子中吃出疑似带血创可贴的异物，要求来伊份官方给出一个明确的回应,2025-05-13 13:51:44,上海证券报·中国证券网,http://finance.eastmoney.com/a/202505133403120035.html
